property_type,region,rebuild_cost_low_per_sqm_gbp,rebuild_cost_high_per_sqm_gbp,rebuild_cost_avg_per_sqm_gbp,typical_property_size_sqm,estimated_total_rebuild_low_gbp,estimated_total_rebuild_high_gbp,includes_professional_fees_pct,includes_vat_pct,last_updated,notes
New build (post-2015),West Midlands,135,194,164,122,16470,23668,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),Yorkshire and Humber,128,184,156,106,13568,19504,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),North West England,130,186,158,89,11570,16554,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),North East England,123,176,149,137,16851,24112,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),Wales,126,180,153,117,14742,21060,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),Scotland,133,190,161,81,10773,15390,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),Northern Ireland,119,170,144,139,16541,23630,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
Timber frame house,London,210,304,257,175,36750,53200,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,South East England,181,262,221,164,29684,42968,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,East of England,159,231,195,86,13674,19866,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,South West England,156,226,191,78,12168,17628,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,East Midlands,137,199,168,124,16988,24676,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,West Midlands,140,203,171,81,11340,16443,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,Yorkshire and Humber,133,193,163,142,18886,27406,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,North West England,134,195,164,144,19296,28080,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,North East England,127,184,155,99,12573,18216,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,Wales,130,189,159,112,14560,21168,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,Scotland,137,199,168,129,17673,25671,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
Timber frame house,Northern Ireland,123,178,150,137,16851,24386,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Specialist rebuild; moisture management critical
