contractor_id,company_name,trade_type,coverage_postcodes,city_region,phone,email,certifications,avg_response_days,emergency_callout,tier_approved,rating_out_of_5,active_on_network,notes
HS-1119,TrustMark Electrical Ltd,Electrical,"BD1, LS7, LS6, LS15, LS16",Leeds,01148908118,claims@trustmarkelectr.co.uk,Part P Certified; NICEIC Approved,5,Yes (24/7),All tiers,4.5,Yes,
HS-1120,Elite Building Building Services,Building & Structural,"LS2, LS1, LS15, BD1",Leeds,01613993675,claims@elitebuildingbu.co.uk,RICS Accredited; Trustmark,3,No,All tiers,4.6,Review pending,
HS-1121,Apex Building Services,Building & Structural,"LS1, LS7, LS15, LS2",Leeds,01222689285,claims@apexbuildingser.co.uk,RIBA Practice; Trustmark,2,No,All tiers,4.1,Yes,
HS-1122,ProBuild Damp Specialists,Damp & Timber Treatment,"LS8, LS7, BD1, LS6, BD2",Leeds,01911811355,claims@probuilddampspe.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.7,Yes,
HS-1123,National Damp Building Services,Damp & Timber Treatment,"LS7, LS17, LS8, LS6, BD2, LS15, LS16",Leeds,01613308823,claims@nationaldampbui.co.uk,Trustmark; FMB Member,3,Yes (Mon-Sat),Comprehensive only,4.5,Yes,
HS-1124,Premier Glazing Services,Glazing,"LS17, LS8, LS2, BD1, LS1, LS7, LS16",Leeds,01228340272,claims@premierglazings.co.uk,Which? Trusted Trader; Trustmark,1,Yes (8am-10pm),All tiers,3.9,Review pending,
HS-1125,Reliable Glazing Contractors,Glazing,"LS15, LS7, LS1, BD2, LS2",Leeds,01317911154,claims@reliableglazing.co.uk,FENSA Registered; Trustmark,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.5,Yes,
HS-1126,Metro Joinery Contractors,Joinery & Carpentry,"LS6, LS1, LS16, BD2, LS2",Leeds,01135548688,claims@metrojoinerycon.co.uk,FMB Member; Trustmark,1,No,"Comprehensive,Landlord",4.4,Review pending,
HS-1127,Quality Joinery Services,Joinery & Carpentry,"LS17, LS6, BD1",Leeds,01217485396,claims@qualityjoinerys.co.uk,FMB Member; Trustmark,1,Yes (24/7),Comprehensive only,3.9,Yes,
HS-1128,Prestige Plastering Specialists,Plastering & Rendering,"BD1, BD2, LS16, LS7, LS6",Leeds,01914356820,claims@prestigeplaster.co.uk,Trustmark; FMB Member,2,Yes (24/7),"Comprehensive,Landlord",4.4,Yes,
HS-1129,Quality Plastering Group,Plastering & Rendering,"LS6, LS8, LS7, LS16, BD1, LS17",Leeds,01146347815,claims@qualityplasteri.co.uk,Trustmark; FMB Member,1,Yes (24/7),Comprehensive only,4.7,Yes,
HS-1130,Metro Plastering & Sons,Plastering & Rendering,"LS17, LS16, LS8, LS15",Leeds,01134479882,claims@metroplastering.co.uk,FMB Member; Trustmark,1,Yes (8am-10pm),"Standard,Comprehensive,Landlord",4.4,Yes,
HS-1131,Prestige Flooring Group,Flooring,"LS15, LS1, LS17, LS8, LS6, BD2, LS7",Leeds,01319347021,claims@prestigefloorin.co.uk,Trustmark; FMB Member,2,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.9,Yes,
HS-1132,TrustMark Kitchen Installation & Sons,Kitchen Installation,"LS7, LS17, LS8, LS15",Leeds,01225922492,claims@trustmarkkitche.co.uk,Trustmark; FMB Member,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.7,Yes,
HS-1133,TrustMark Kitchen Installation Solutions,Kitchen Installation,"LS1, BD2, LS2",Leeds,01144384973,claims@trustmarkkitche.co.uk,FMB Member; Trustmark,5,Yes (24/7),"Standard,Comprehensive,Landlord",3.9,Yes,
HS-1134,ProBuild Kitchen Installation Specialists,Kitchen Installation,"LS8, LS17, BD2, LS16, LS6",Leeds,01915274711,claims@probuildkitchen.co.uk,FMB Member; Trustmark,2,Yes (24/7),"Standard,Comprehensive,Landlord",3.9,Review pending,
HS-1135,Elite Bathroom Installation & Sons,Bathroom Installation,"BD2, BD1, LS6, LS2, LS15, LS1",Leeds,01222202207,claims@elitebathroomin.co.uk,Trustmark; FMB Member,3,Yes (24/7),All tiers,4.9,Yes,
HS-1136,FastFix Bathroom Installation & Sons,Bathroom Installation,"LS1, LS6, LS2, LS16",Leeds,01612260723,claims@fastfixbathroom.co.uk,FMB Member; Trustmark,5,No,All tiers,5.0,Review pending,
HS-1137,ProBuild Painting Ltd,Painting & Decorating,"LS8, LS6, LS2, LS15, LS16, LS17",Leeds,01311338941,claims@probuildpaintin.co.uk,FMB Member; Trustmark,5,Yes (24/7),All tiers,4.3,Yes,
HS-1138,National Drainage & Sons,Drainage,"BD1, LS16, LS15",Leeds,01416950225,claims@nationaldrainag.co.uk,Trustmark; FMB Member,3,No,All tiers,4.8,Yes,
HS-1139,City Drainage Building Services,Drainage,"BD2, LS6, LS16, LS8",Leeds,01134422453,claims@citydrainagebui.co.uk,FMB Member; Trustmark,1,No,All tiers,4.1,Yes,
HS-1140,Summit Drainage Solutions,Drainage,"LS17, LS8, LS2",Leeds,01913872260,claims@summitdrainages.co.uk,Trustmark; FMB Member,1,Yes (24/7),Comprehensive only,4.9,Yes,
HS-1141,Quality Locksmith Ltd,Locksmith,"LS1, LS16, LS6, LS17, LS2, BD2",Leeds,01211116119,claims@qualitylocksmit.co.uk,Trustmark; Master Locksmiths Association,1,Yes (Mon-Sat),Comprehensive only,4.9,Yes,
HS-1142,Swift Fire Restoration Solutions,Fire Restoration,"LS6, LS2, LS17, LS15, LS16, LS1",Leeds,01135995188,claims@swiftfirerestor.co.uk,BDMA Member; Trustmark,3,Yes (8am-10pm),"Standard,Comprehensive,Landlord",4.1,Yes,
HS-1143,City Flood Remediation Contractors,Flood Remediation,"LS7, LS8, LS2, LS15, LS1, LS17, BD2",Leeds,01228376870,claims@cityfloodremedi.co.uk,Trustmark; BDMA Member,1,Yes (24/7),"Comprehensive,Landlord",4.1,Yes,
HS-1144,BritishHome Flood Remediation & Sons,Flood Remediation,"BD2, LS8, LS6, LS1, LS2",Leeds,01228437480,claims@britishhomefloo.co.uk,Trustmark; BDMA Member,2,Yes (8am-10pm),Comprehensive only,4.1,Yes,
HS-1145,BritishHome Flood Remediation Group,Flood Remediation,"LS1, LS8, LS16, LS17",Leeds,01226459278,claims@britishhomefloo.co.uk,Trustmark; BDMA Member,2,Yes (24/7),Comprehensive only,4.0,Review pending,
HS-1146,Crown Subsidence Specialist Contractors,Subsidence Specialist,"LS16, LS17, LS7, LS1, LS15, BD1",Leeds,01314772846,claims@crownsubsidence.co.uk,RICS Accredited; PCA Registered,3,Yes (8am-10pm),"Comprehensive,Landlord",4.3,Review pending,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1147,Apex Environmental (Oil/Contamination) Ltd,Environmental (Oil/Contamination),"LS7, LS8, LS2, LS15, LS1, LS17, BD2",Leeds,01227924678,claims@apexenvironment.co.uk,Environment Agency Licensed; ISO 14001 Certified,3,No,"Standard,Comprehensive,Landlord",4.4,Review pending,Environment Agency licensed; required for all oil escape clean-up claims
HS-1148,Elite Scaffolding & Sons,Scaffolding,"LS15, BD1, LS1, LS6, BD2, LS8, LS7",Leeds,01615938841,claims@elitescaffoldin.co.uk,FMB Member; Trustmark,2,Yes (24/7),"Comprehensive,Landlord",4.0,Review pending,
HS-1149,BritishHome Scaffolding Contractors,Scaffolding,"LS1, BD2, LS16",Leeds,01132048073,claims@britishhomescaf.co.uk,FMB Member; Trustmark,1,No,All tiers,4.7,Yes,
HS-1150,Apex Roofing Ltd,Roofing,"BS7, BS6, BS14, BS9, BS1, BS3",Bristol,01613545444,claims@apexroofingltd.co.uk,NFRC Approved; Trustmark,3,No,"Comprehensive,Landlord",4.9,Yes,
HS-1151,TrustMark Roofing Building Services,Roofing,"BS13, BS14, BS3, BS2",Bristol,01159565617,claims@trustmarkroofin.co.uk,Trustmark; CompetentRoofer,3,Yes (Mon-Sat),Comprehensive only,4.9,Yes,
HS-1152,Apex Plumbing Property Services,Plumbing & Heating,"BS13, BS9, BS2, BS1",Bristol,01222007967,claims@apexplumbingpro.co.uk,Gas Safe Registered; CIPHE Member,5,Yes (8am-10pm),Comprehensive only,4.2,Review pending,
HS-1153,BritishHome Plumbing & Sons,Plumbing & Heating,"BS6, BS3, BS14, BS13, BS2",Bristol,01617473181,claims@britishhomeplum.co.uk,CIPHE Member; Trustmark,5,No,All tiers,4.1,Review pending,
HS-1154,Swift Plumbing Group,Plumbing & Heating,"BS13, BS15, BS9",Bristol,01916588459,claims@swiftplumbinggr.co.uk,Trustmark; Gas Safe Registered,1,Yes (Mon-Sat),All tiers,4.5,Yes,
HS-1155,Metro Electrical Building Services,Electrical,"BS8, BS9, BS7, BS15, BS3",Bristol,01158598227,claims@metroelectrical.co.uk,NAPIT Registered; NICEIC Approved,5,No,"Standard,Comprehensive,Landlord",3.8,Yes,
HS-1156,National Electrical Ltd,Electrical,"BS9, BS15, BS13, BS6, BS14, BS8, BS3",Bristol,01613125676,claims@nationalelectri.co.uk,Part P Certified; NAPIT Registered,2,Yes (8am-10pm),"Comprehensive,Landlord",4.6,Yes,
HS-1157,Shield Electrical Building Services,Electrical,"BS3, BS14, BS2, BS7",Bristol,01419938379,claims@shieldelectrica.co.uk,Part P Certified; NAPIT Registered,5,No,Comprehensive only,4.5,Yes,
HS-1158,Swift Building Solutions,Building & Structural,"BS9, BS6, BS14, BS3, BS13, BS15",Bristol,01219891782,claims@swiftbuildingso.co.uk,FMB Member; RICS Accredited,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.5,Yes,
HS-1159,Prestige Damp Group,Damp & Timber Treatment,"BS2, BS8, BS15",Bristol,01315713546,claims@prestigedampgro.co.uk,Trustmark; FMB Member,5,Yes (Mon-Sat),Comprehensive only,4.5,Review pending,
HS-1160,Elite Damp & Sons,Damp & Timber Treatment,"BS14, BS15, BS13, BS2",Bristol,01171312734,claims@elitedampandson.co.uk,FMB Member; Trustmark,2,Yes (24/7),"Comprehensive,Landlord",4.2,Yes,
HS-1161,Metro Damp Specialists,Damp & Timber Treatment,"BS13, BS6, BS8, BS9",Bristol,01149553901,claims@metrodampspecia.co.uk,FMB Member; Trustmark,1,Yes (24/7),"Comprehensive,Landlord",3.9,Yes,
HS-1162,Swift Glazing Building Services,Glazing,"BS3, BS8, BS2, BS1, BS7, BS14, BS13",Bristol,01225936022,claims@swiftglazingbui.co.uk,Trustmark; FENSA Registered,1,No,All tiers,4.4,Yes,
HS-1163,Prestige Joinery Ltd,Joinery & Carpentry,"BS3, BS13, BS7, BS1, BS15, BS9, BS6",Bristol,01215707915,claims@prestigejoinery.co.uk,FMB Member; Trustmark,2,No,"Standard,Comprehensive,Landlord",4.4,Yes,
HS-1164,Metro Joinery Services,Joinery & Carpentry,"BS15, BS1, BS6",Bristol,01176553026,claims@metrojoineryser.co.uk,Trustmark; FMB Member,2,No,"Standard,Comprehensive,Landlord",4.1,Yes,
HS-1165,Shield Joinery Specialists,Joinery & Carpentry,"BS8, BS3, BS14, BS15, BS7, BS9, BS6",Bristol,01915365896,claims@shieldjoinerysp.co.uk,Trustmark; FMB Member,3,No,"Comprehensive,Landlord",4.5,Yes,
HS-1166,BritishHome Plastering Group,Plastering & Rendering,"BS9, BS14, BS6, BS15, BS8",Bristol,01217149499,claims@britishhomeplas.co.uk,FMB Member; Trustmark,1,Yes (24/7),Comprehensive only,4.7,Yes,
HS-1167,BritishHome Plastering Ltd,Plastering & Rendering,"BS3, BS1, BS7, BS14, BS8",Bristol,01919697415,claims@britishhomeplas.co.uk,FMB Member; Trustmark,2,No,Comprehensive only,4.8,Yes,
HS-1168,Quality Flooring Contractors,Flooring,"BS3, BS13, BS2, BS1, BS7, BS9",Bristol,01138358257,claims@qualityflooring.co.uk,FMB Member; Trustmark,2,No,"Standard,Comprehensive,Landlord",3.9,Yes,
HS-1169,National Flooring Ltd,Flooring,"BS14, BS8, BS13, BS3, BS6, BS2, BS9",Bristol,01157889485,claims@nationalfloorin.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),Comprehensive only,4.1,Yes,
HS-1170,Premier Flooring Services,Flooring,"BS9, BS8, BS1, BS3, BS2, BS15",Bristol,01144868727,claims@premierflooring.co.uk,FMB Member; Trustmark,1,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",3.8,Yes,
HS-1171,National Kitchen Installation Building Services,Kitchen Installation,"BS14, BS9, BS13, BS15, BS3, BS8",Bristol,01141358648,claims@nationalkitchen.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.6,Review pending,
HS-1172,Swift Kitchen Installation Ltd,Kitchen Installation,"BS15, BS6, BS1, BS2, BS14",Bristol,01914598523,claims@swiftkitchenins.co.uk,Trustmark; FMB Member,1,Yes (24/7),All tiers,4.7,Yes,
HS-1173,Premier Kitchen Installation Services,Kitchen Installation,"BS8, BS7, BS2, BS3, BS15, BS1",Bristol,01919578179,claims@premierkitcheni.co.uk,Trustmark; FMB Member,1,Yes (8am-10pm),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1174,SafeHome Bathroom Installation Solutions,Bathroom Installation,"BS2, BS7, BS15, BS6",Bristol,01228647412,claims@safehomebathroo.co.uk,Trustmark; FMB Member,3,Yes (24/7),All tiers,4.8,Yes,
HS-1175,Prestige Bathroom Installation Contractors,Bathroom Installation,"BS2, BS14, BS1, BS3, BS9, BS6, BS13",Bristol,01611670416,claims@prestigebathroo.co.uk,FMB Member; Trustmark,5,Yes (Mon-Sat),All tiers,4.1,Review pending,
HS-1176,Premier Painting Services,Painting & Decorating,"BS15, BS7, BS9, BS3, BS13, BS6, BS1",Bristol,01218469615,claims@premierpainting.co.uk,Trustmark; FMB Member,2,Yes (8am-10pm),All tiers,4.8,Yes,
HS-1177,Reliable Painting Specialists,Painting & Decorating,"BS2, BS7, BS9, BS8",Bristol,01919121662,claims@reliablepaintin.co.uk,FMB Member; Trustmark,3,Yes (Mon-Sat),"Comprehensive,Landlord",4.9,Yes,
HS-1178,FastFix Drainage Solutions,Drainage,"BS3, BS15, BS13, BS1, BS7, BS14, BS2",Bristol,01145516671,claims@fastfixdrainage.co.uk,Trustmark; FMB Member,2,Yes (24/7),"Comprehensive,Landlord",4.2,Yes,
HS-1179,National Locksmith Services,Locksmith,"BS8, BS3, BS15",Bristol,01175781173,claims@nationallocksmi.co.uk,Master Locksmiths Association; Trustmark,3,No,Comprehensive only,4.8,Review pending,
HS-1180,Regional Locksmith Building Services,Locksmith,"BS7, BS2, BS1, BS14, BS13, BS6",Bristol,01136318264,claims@regionallocksmi.co.uk,Trustmark; Master Locksmiths Association,2,No,Comprehensive only,4.9,Yes,
HS-1181,Premier Locksmith Solutions,Locksmith,"BS3, BS7, BS14",Bristol,01157192980,claims@premierlocksmit.co.uk,Trustmark; Master Locksmiths Association,2,No,All tiers,4.2,Yes,
HS-1182,National Fire Restoration Contractors,Fire Restoration,"BS9, BS7, BS14, BS3, BS1, BS15, BS6",Bristol,01418183038,claims@nationalfireres.co.uk,BDMA Member; Trustmark,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.3,Yes,
HS-1183,City Fire Restoration Property Services,Fire Restoration,"BS15, BS6, BS14",Bristol,01141152661,claims@cityfirerestora.co.uk,Trustmark; BDMA Member,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.2,Yes,
HS-1184,Reliable Flood Remediation Services,Flood Remediation,"BS3, BS1, BS14, BS6, BS8, BS13",Bristol,01211697731,claims@reliablefloodre.co.uk,PCA Registered; Trustmark,3,Yes (Mon-Sat),Comprehensive only,4.1,Yes,
HS-1185,ProBuild Flood Remediation Property Services,Flood Remediation,"BS9, BS1, BS2",Bristol,01915379833,claims@probuildfloodre.co.uk,Trustmark; PCA Registered,3,Yes (Mon-Sat),"Comprehensive,Landlord",4.3,Yes,
HS-1186,Apex Subsidence Specialist Solutions,Subsidence Specialist,"BS7, BS8, BS6",Bristol,01318154517,claims@apexsubsidences.co.uk,RICS Accredited; Helifix Approved Installer,2,No,"Standard,Comprehensive,Landlord",4.9,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1187,National Subsidence Specialist Specialists,Subsidence Specialist,"BS7, BS3, BS15, BS2, BS14",Bristol,01311242841,claims@nationalsubside.co.uk,RICS Accredited; PCA Registered,2,No,All tiers,3.9,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1188,Reliable Environmental (Oil/Contamination) Building Services,Environmental (Oil/Contamination),"BS14, BS2, BS1, BS15, BS8, BS7",Bristol,01154765929,claims@reliableenviron.co.uk,Environment Agency Licensed; ISO 14001 Certified,2,No,"Standard,Comprehensive,Landlord",4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1189,Swift Environmental (Oil/Contamination) Group,Environmental (Oil/Contamination),"BS9, BS15, BS6, BS3",Bristol,01414489054,claims@swiftenvironmen.co.uk,Environment Agency Licensed; ISO 14001 Certified,5,No,"Standard,Comprehensive,Landlord",4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1190,SafeHome Environmental (Oil/Contamination) Solutions,Environmental (Oil/Contamination),"BS13, BS8, BS7, BS9, BS3, BS2",Bristol,01157239804,claims@safehomeenviron.co.uk,Environment Agency Licensed; ISO 14001 Certified,2,Yes (Mon-Sat),Comprehensive only,4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1191,ProBuild Scaffolding Specialists,Scaffolding,"BS14, BS8, BS9, BS2",Bristol,01131378690,claims@probuildscaffol.co.uk,Trustmark; FMB Member,2,No,"Comprehensive,Landlord",4.5,Yes,
HS-1192,BritishHome Scaffolding Property Services,Scaffolding,"BS13, BS3, BS8, BS1, BS2, BS7, BS6",Bristol,01143583160,claims@britishhomescaf.co.uk,Trustmark; FMB Member,2,No,All tiers,4.6,Yes,
HS-1193,Shield Scaffolding Services,Scaffolding,"BS13, BS7, BS8, BS9, BS15, BS3, BS2",Bristol,01227365382,claims@shieldscaffoldi.co.uk,Trustmark; FMB Member,1,Yes (Mon-Sat),All tiers,3.8,Yes,
HS-1194,National Roofing Group,Roofing,"EH6, EH11, EH3, EH16",Edinburgh,01215809106,claims@nationalroofing.co.uk,CompetentRoofer; Trustmark,2,Yes (Mon-Sat),Comprehensive only,4.7,Yes,
HS-1195,Crown Roofing Contractors,Roofing,"EH12, EH1, EH16, EH7, EH8, EH11",Edinburgh,01177789981,claims@crownroofingcon.co.uk,NFRC Approved; Trustmark,1,Yes (8am-10pm),"Standard,Comprehensive,Landlord",5.0,Yes,
HS-1196,Premier Roofing & Sons,Roofing,"EH1, EH12, EH2",Edinburgh,01418070566,claims@premierroofinga.co.uk,Trustmark; CompetentRoofer,5,No,"Standard,Comprehensive,Landlord",4.2,Yes,
HS-1197,TrustMark Plumbing Solutions,Plumbing & Heating,"EH10, EH11, EH1, EH12, EH8",Edinburgh,01414138407,claims@trustmarkplumbi.co.uk,Gas Safe Registered; Trustmark,2,No,Comprehensive only,4.4,Yes,
HS-1198,Prestige Plumbing Solutions,Plumbing & Heating,"EH1, EH10, EH7, EH2, EH16, EH3",Edinburgh,01142009647,claims@prestigeplumbin.co.uk,Trustmark; CIPHE Member,1,No,All tiers,4.3,Review pending,
HS-1199,TrustMark Electrical Ltd,Electrical,"EH16, EH7, EH8, EH6, EH1, EH11, EH12",Edinburgh,01159369038,claims@trustmarkelectr.co.uk,Part P Certified; NAPIT Registered,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.9,Yes,
HS-1200,Crown Building Services,Building & Structural,"EH3, EH7, EH2, EH1, EH8, EH12",Edinburgh,01315131663,claims@crownbuildingse.co.uk,Trustmark; RICS Accredited,3,Yes (Mon-Sat),"Comprehensive,Landlord",3.9,Yes,
HS-1201,Prestige Building Ltd,Building & Structural,"EH6, EH3, EH7",Edinburgh,01916676380,claims@prestigebuildin.co.uk,RICS Accredited; Trustmark,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.4,Yes,
HS-1202,Metro Building Group,Building & Structural,"EH3, EH1, EH10, EH16",Edinburgh,01137564005,claims@metrobuildinggr.co.uk,RICS Accredited; FMB Member,2,Yes (8am-10pm),All tiers,4.3,Yes,
HS-1203,Summit Damp Services,Damp & Timber Treatment,"EH11, EH6, EH10, EH1",Edinburgh,01314580980,claims@summitdampservi.co.uk,Trustmark; FMB Member,1,No,"Comprehensive,Landlord",4.0,Review pending,
HS-1204,ProBuild Glazing Services,Glazing,"EH12, EH6, EH11, EH1, EH7",Edinburgh,01229724008,claims@probuildglazing.co.uk,Trustmark; Which? Trusted Trader,3,Yes (8am-10pm),"Comprehensive,Landlord",4.1,Yes,
HS-1205,Crown Glazing Solutions,Glazing,"EH7, EH16, EH12, EH6, EH10, EH2, EH8",Edinburgh,01617742956,claims@crownglazingsol.co.uk,Which? Trusted Trader; Trustmark,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.6,Yes,
HS-1206,Reliable Glazing Solutions,Glazing,"EH3, EH10, EH1, EH8, EH2",Edinburgh,01215647410,claims@reliableglazing.co.uk,Trustmark; FENSA Registered,2,Yes (8am-10pm),Comprehensive only,4.6,Yes,
HS-1207,Premier Joinery Specialists,Joinery & Carpentry,"EH7, EH3, EH10, EH2",Edinburgh,01159052405,claims@premierjoinerys.co.uk,FMB Member; Trustmark,5,No,All tiers,4.1,Review pending,
HS-1208,Prestige Plastering Specialists,Plastering & Rendering,"EH3, EH7, EH8, EH10, EH1, EH11",Edinburgh,01177965226,claims@prestigeplaster.co.uk,FMB Member; Trustmark,1,Yes (Mon-Sat),"Comprehensive,Landlord",3.8,Yes,
HS-1209,FastFix Flooring Contractors,Flooring,"EH3, EH6, EH12, EH1, EH8, EH16",Edinburgh,01134592214,claims@fastfixflooring.co.uk,FMB Member; Trustmark,5,Yes (24/7),All tiers,3.9,Yes,
HS-1210,Swift Kitchen Installation Contractors,Kitchen Installation,"EH8, EH12, EH7, EH1, EH6, EH10",Edinburgh,01226436539,claims@swiftkitchenins.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),Comprehensive only,4.0,Yes,
HS-1211,FastFix Kitchen Installation Specialists,Kitchen Installation,"EH7, EH12, EH11, EH3, EH6",Edinburgh,01619124476,claims@fastfixkitcheni.co.uk,FMB Member; Trustmark,5,Yes (8am-10pm),"Comprehensive,Landlord",4.8,Yes,
HS-1212,ProBuild Bathroom Installation Building Services,Bathroom Installation,"EH3, EH6, EH7, EH12, EH16",Edinburgh,01311095910,claims@probuildbathroo.co.uk,Trustmark; FMB Member,5,Yes (24/7),All tiers,3.9,Review pending,
HS-1213,Crown Painting Specialists,Painting & Decorating,"EH6, EH1, EH12, EH2",Edinburgh,01417676158,claims@crownpaintingsp.co.uk,Trustmark; FMB Member,2,Yes (24/7),All tiers,4.8,Yes,
HS-1214,TrustMark Painting Contractors,Painting & Decorating,"EH6, EH16, EH10",Edinburgh,01611451900,claims@trustmarkpainti.co.uk,Trustmark; FMB Member,2,Yes (8am-10pm),All tiers,4.4,Yes,
HS-1215,BritishHome Drainage & Sons,Drainage,"EH10, EH3, EH11, EH8, EH16, EH6",Edinburgh,01416936154,claims@britishhomedrai.co.uk,Trustmark; FMB Member,3,No,All tiers,4.2,Review pending,
HS-1216,BritishHome Drainage Building Services,Drainage,"EH3, EH2, EH7, EH11, EH1, EH16",Edinburgh,01174691124,claims@britishhomedrai.co.uk,FMB Member; Trustmark,1,Yes (8am-10pm),"Comprehensive,Landlord",4.2,Yes,
HS-1217,Crown Drainage Building Services,Drainage,"EH12, EH6, EH7, EH1, EH2",Edinburgh,01415147777,claims@crowndrainagebu.co.uk,FMB Member; Trustmark,5,No,"Comprehensive,Landlord",4.0,Yes,
HS-1218,TrustMark Locksmith Specialists,Locksmith,"EH8, EH7, EH6, EH3",Edinburgh,01618654954,claims@trustmarklocksm.co.uk,Trustmark; Master Locksmiths Association,1,No,"Standard,Comprehensive,Landlord",4.3,Yes,
HS-1219,Swift Locksmith Services,Locksmith,"EH10, EH2, EH8",Edinburgh,01412488168,claims@swiftlocksmiths.co.uk,Trustmark; Master Locksmiths Association,2,Yes (8am-10pm),Comprehensive only,5.0,Yes,
HS-1220,SafeHome Fire Restoration Services,Fire Restoration,"EH3, EH1, EH7, EH2, EH11, EH16",Edinburgh,01153150963,claims@safehomefireres.co.uk,BDMA Member; Trustmark,1,Yes (8am-10pm),"Comprehensive,Landlord",4.1,Yes,
HS-1221,TrustMark Fire Restoration Specialists,Fire Restoration,"EH7, EH10, EH1, EH6, EH12, EH16",Edinburgh,01911215547,claims@trustmarkfirere.co.uk,Trustmark; BDMA Member,1,No,"Comprehensive,Landlord",4.0,Yes,
HS-1222,BritishHome Flood Remediation Property Services,Flood Remediation,"EH8, EH6, EH3",Edinburgh,01226203648,claims@britishhomefloo.co.uk,BDMA Member; Trustmark,1,Yes (24/7),"Comprehensive,Landlord",5.0,Yes,
HS-1223,Prestige Flood Remediation Contractors,Flood Remediation,"EH12, EH8, EH16, EH2",Edinburgh,01216224670,claims@prestigefloodre.co.uk,PCA Registered; BDMA Member,1,Yes (24/7),"Comprehensive,Landlord",4.7,Yes,
HS-1224,Prestige Subsidence Specialist & Sons,Subsidence Specialist,"EH8, EH16, EH2, EH3, EH10",Edinburgh,01611783299,claims@prestigesubside.co.uk,RICS Accredited; Helifix Approved Installer,5,Yes (Mon-Sat),All tiers,3.9,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1225,Reliable Environmental (Oil/Contamination) Group,Environmental (Oil/Contamination),"EH1, EH6, EH3, EH7, EH11, EH2",Edinburgh,01226650853,claims@reliableenviron.co.uk,Environment Agency Licensed; ISO 14001 Certified,1,Yes (8am-10pm),Comprehensive only,4.1,Review pending,Environment Agency licensed; required for all oil escape clean-up claims
HS-1226,ProBuild Scaffolding Services,Scaffolding,"EH8, EH12, EH7, EH16, EH3",Edinburgh,01911035838,claims@probuildscaffol.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1227,FastFix Roofing Group,Roofing,"G2, G3, G12, G1, G42",Glasgow,01617044948,claims@fastfixroofingg.co.uk,CompetentRoofer; NFRC Approved,3,No,"Comprehensive,Landlord",4.1,Yes,
HS-1228,BritishHome Plumbing Ltd,Plumbing & Heating,"G3, G41, G13, G4",Glasgow,01158682591,claims@britishhomeplum.co.uk,Trustmark; Gas Safe Registered,3,Yes (8am-10pm),"Comprehensive,Landlord",4.5,Yes,
HS-1229,BritishHome Plumbing Solutions,Plumbing & Heating,"G4, G11, G14",Glasgow,01226104699,claims@britishhomeplum.co.uk,Trustmark; CIPHE Member,1,Yes (Mon-Sat),Comprehensive only,3.9,Review pending,
HS-1230,Swift Plumbing Solutions,Plumbing & Heating,"G14, G42, G4",Glasgow,01418049391,claims@swiftplumbingso.co.uk,Trustmark; Gas Safe Registered,2,Yes (Mon-Sat),Comprehensive only,5.0,Yes,
HS-1231,City Electrical Group,Electrical,"G2, G11, G13, G12, G42",Glasgow,01213153795,claims@cityelectricalg.co.uk,NAPIT Registered; NICEIC Approved,2,Yes (8am-10pm),"Standard,Comprehensive,Landlord",4.9,Yes,
HS-1232,Quality Building Contractors,Building & Structural,"G3, G42, G13, G12, G41, G11, G4",Glasgow,01179891303,claims@qualitybuilding.co.uk,Trustmark; RIBA Practice,1,No,"Standard,Comprehensive,Landlord",4.9,Review pending,
HS-1233,Prestige Damp Specialists,Damp & Timber Treatment,"G12, G41, G4, G3",Glasgow,01612863757,claims@prestigedampspe.co.uk,FMB Member; Trustmark,1,No,All tiers,4.5,Yes,
HS-1234,TrustMark Damp Solutions,Damp & Timber Treatment,"G12, G11, G42",Glasgow,01411006185,claims@trustmarkdampso.co.uk,FMB Member; Trustmark,2,No,Comprehensive only,4.4,Yes,
