damage_type,peril_category,affected_component,property_size_category,repair_cost_low_gbp,repair_cost_high_gbp,repair_cost_avg_gbp,typical_labour_days,vat_included,recommended_quotes,specialist_required,notes
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,4-bed detached house,10800,47250,29025,20,Yes (20% VAT included),2 independent quotes required,No,
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,5-bed+ large detached,12800,56000,34400,20,Yes (20% VAT included),2 independent quotes required,No,
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,1-bed flat/apartment,14000,56000,35000,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,2-bed terraced house,18000,72000,45000,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,3-bed semi-detached house,20000,80000,50000,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,3-bed detached house,23000,92000,57500,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,4-bed detached house,27000,108000,67500,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Fire damage — whole floor (rebuild and redecoration),Fire,Structural,5-bed+ large detached,32000,128000,80000,60,Yes (20% VAT included),2 independent quotes required,Yes,Major structural work; alternative accommodation likely needed
Smoke damage — redecoration (single room),Fire,Interior,1-bed flat/apartment,350,1400,875,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — redecoration (single room),Fire,Interior,2-bed terraced house,450,1800,1125,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — redecoration (single room),Fire,Interior,3-bed semi-detached house,500,2000,1250,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — redecoration (single room),Fire,Interior,3-bed detached house,575,2300,1437,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — redecoration (single room),Fire,Interior,4-bed detached house,675,2700,1687,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — redecoration (single room),Fire,Interior,5-bed+ large detached,800,3200,2000,3,Yes (20% VAT included),1 quote sufficient,No,Specialist smoke neutralisation required
Smoke damage — full property redecoration,Fire,Interior,1-bed flat/apartment,2100,10500,6300,15,Yes (20% VAT included),2 independent quotes required,No,
Smoke damage — full property redecoration,Fire,Interior,2-bed terraced house,2700,13500,8100,15,Yes (20% VAT included),2 independent quotes required,No,
Smoke damage — full property redecoration,Fire,Interior,3-bed semi-detached house,3000,15000,9000,15,Yes (20% VAT included),2 independent quotes required,No,
Smoke damage — full property redecoration,Fire,Interior,3-bed detached house,3425,17250,10337,15,Yes (20% VAT included),2 independent quotes required,No,
Smoke damage — full property redecoration,Fire,Interior,4-bed detached house,4050,20250,12150,15,Yes (20% VAT included),2 independent quotes required,No,
Smoke damage — full property redecoration,Fire,Interior,5-bed+ large detached,4800,24000,14400,15,Yes (20% VAT included),2 independent quotes required,No,
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,1-bed flat/apartment,350,1400,875,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,2-bed terraced house,450,1800,1125,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,3-bed semi-detached house,500,2000,1250,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,3-bed detached house,575,2300,1437,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,4-bed detached house,675,2700,1687,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — crack injection (cosmetic repair only),Subsidence,Foundation,5-bed+ large detached,800,3200,2000,2,Yes (20% VAT included),1 quote sufficient,Yes,Not approved until monitoring complete
Subsidence — underpinning (per linear metre),Subsidence,Foundation,1-bed flat/apartment,1050,3150,2100,4,Yes (20% VAT included),1 quote sufficient,Yes,Mass concrete underpinning; specialist contractor
Subsidence — underpinning (per linear metre),Subsidence,Foundation,2-bed terraced house,1350,4050,2700,4,Yes (20% VAT included),2 independent quotes required,Yes,Mass concrete underpinning; specialist contractor
Subsidence — underpinning (per linear metre),Subsidence,Foundation,3-bed semi-detached house,1500,4500,3000,4,Yes (20% VAT included),2 independent quotes required,Yes,Mass concrete underpinning; specialist contractor
Subsidence — underpinning (per linear metre),Subsidence,Foundation,3-bed detached house,1700,5175,3437,4,Yes (20% VAT included),2 independent quotes required,Yes,Mass concrete underpinning; specialist contractor
Subsidence — underpinning (per linear metre),Subsidence,Foundation,4-bed detached house,2025,6075,4050,4,Yes (20% VAT included),2 independent quotes required,Yes,Mass concrete underpinning; specialist contractor
Subsidence — underpinning (per linear metre),Subsidence,Foundation,5-bed+ large detached,2400,7200,4800,4,Yes (20% VAT included),2 independent quotes required,Yes,Mass concrete underpinning; specialist contractor
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,1-bed flat/apartment,17500,56000,36750,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,2-bed terraced house,22500,72000,47250,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,3-bed semi-detached house,25000,80000,52500,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,3-bed detached house,28725,92000,60362,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,4-bed detached house,33750,108000,70875,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
"Subsidence — underpinning (full property, 3-bed semi)",Subsidence,Foundation,5-bed+ large detached,40000,128000,84000,60,Yes (20% VAT included),2 independent quotes required,Yes,Major project; alternative accommodation required
Flood damage — ground floor redecoration,Flood,Interior,1-bed flat/apartment,1400,5600,3500,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — ground floor redecoration,Flood,Interior,2-bed terraced house,1800,7200,4500,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — ground floor redecoration,Flood,Interior,3-bed semi-detached house,2000,8000,5000,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — ground floor redecoration,Flood,Interior,3-bed detached house,2300,9200,5750,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — ground floor redecoration,Flood,Interior,4-bed detached house,2700,10800,6750,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — ground floor redecoration,Flood,Interior,5-bed+ large detached,3200,12800,8000,10,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — full property strip out and reinstatement,Flood,Structural,1-bed flat/apartment,10500,42000,26250,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — full property strip out and reinstatement,Flood,Structural,2-bed terraced house,13500,54000,33750,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — full property strip out and reinstatement,Flood,Structural,3-bed semi-detached house,15000,60000,37500,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — full property strip out and reinstatement,Flood,Structural,3-bed detached house,17250,69000,43125,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — full property strip out and reinstatement,Flood,Structural,4-bed detached house,20250,81000,50625,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — full property strip out and reinstatement,Flood,Structural,5-bed+ large detached,24000,96000,60000,90,Yes (20% VAT included),2 independent quotes required,Yes,Drying period 6–12 months; alternative accommodation
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,1-bed flat/apartment,1400,7000,4200,7,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,2-bed terraced house,1800,9000,5400,7,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,3-bed semi-detached house,2000,10000,6000,7,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,3-bed detached house,2300,11500,6900,7,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,4-bed detached house,2700,13500,8100,7,Yes (20% VAT included),2 independent quotes required,Yes,
Flood damage — floor replacement (solid/screed floor),Flood,Flooring,5-bed+ large detached,3200,16000,9600,7,Yes (20% VAT included),2 independent quotes required,Yes,
Theft — door and lock replacement,Theft,Security,1-bed flat/apartment,200,825,512,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — door and lock replacement,Theft,Security,2-bed terraced house,250,1075,662,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — door and lock replacement,Theft,Security,3-bed semi-detached house,300,1200,750,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — door and lock replacement,Theft,Security,3-bed detached house,325,1375,850,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — door and lock replacement,Theft,Security,4-bed detached house,400,1600,1000,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — door and lock replacement,Theft,Security,5-bed+ large detached,475,1900,1187,1,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,1-bed flat/apartment,125,550,337,0.5,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,2-bed terraced house,175,700,437,0.5,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,3-bed semi-detached house,200,800,500,0.5,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,3-bed detached house,225,900,562,0.5,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,4-bed detached house,250,1075,662,0.5,Yes (20% VAT included),1 quote sufficient,No,
Theft — glazing replacement (broken entry point),Theft,Windows,5-bed+ large detached,300,1275,787,0.5,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,1-bed flat/apartment,200,1050,625,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,2-bed terraced house,250,1350,800,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,3-bed semi-detached house,300,1500,900,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,3-bed detached house,325,1700,1012,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,4-bed detached house,400,2025,1212,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — external paint/graffiti removal,Vandalism,Exterior,5-bed+ large detached,475,2400,1437,2,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,1-bed flat/apartment,275,825,550,1,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,2-bed terraced house,350,1075,712,1,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,3-bed semi-detached house,400,1200,800,1,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,3-bed detached house,450,1375,912,1,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,4-bed detached house,525,1600,1062,1,Yes (20% VAT included),1 quote sufficient,No,
Vandalism — window replacement,Vandalism,Windows,5-bed+ large detached,625,1900,1262,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,1-bed flat/apartment,200,550,375,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,2-bed terraced house,250,700,475,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,3-bed semi-detached house,300,800,550,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,3-bed detached house,325,900,612,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,4-bed detached house,400,1075,737,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — internal door replacement,Accidental,Doors,5-bed+ large detached,475,1275,875,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,1-bed flat/apartment,275,1250,762,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,2-bed terraced house,350,1600,975,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,3-bed semi-detached house,400,1800,1100,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,3-bed detached house,450,2050,1250,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,4-bed detached house,525,2425,1475,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — worktop replacement (per 2m),Accidental,Kitchen,5-bed+ large detached,625,2875,1750,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,1-bed flat/apartment,100,400,250,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,2-bed terraced house,125,525,325,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,3-bed semi-detached house,150,600,375,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,3-bed detached house,150,675,412,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,4-bed detached house,200,800,500,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — wall tile replacement (per sqm),Accidental,Interior,5-bed+ large detached,225,950,587,0.5,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,1-bed flat/apartment,125,825,475,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,2-bed terraced house,175,1075,625,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,3-bed semi-detached house,200,1200,700,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,3-bed detached house,225,1375,800,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,4-bed detached house,250,1600,925,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — carpet (per room),Accidental,Flooring,5-bed+ large detached,300,1900,1100,1,Yes (20% VAT included),1 quote sufficient,No,
Accidental damage — TV / monitor (standard),Accidental,Contents,1-bed flat/apartment,200,1400,800,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
Accidental damage — TV / monitor (standard),Accidental,Contents,2-bed terraced house,250,1800,1025,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
Accidental damage — TV / monitor (standard),Accidental,Contents,3-bed semi-detached house,300,2000,1150,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
Accidental damage — TV / monitor (standard),Accidental,Contents,3-bed detached house,325,2300,1312,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
Accidental damage — TV / monitor (standard),Accidental,Contents,4-bed detached house,400,2700,1550,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
Accidental damage — TV / monitor (standard),Accidental,Contents,5-bed+ large detached,475,3200,1837,0,Yes (20% VAT included),1 quote sufficient,No,Contents claim; replacement cost
